seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
2740078919,2,101,61,36,14,13,8.8145,4.1101,2,0,2738.8315,1528.6491
2740078919,2,102,6,15,6,9,5.2556,6.6343,2,2,763.9358,1869.9293
2740078919,2,103,66,7,10,10,3.2529,9.6249,2,2,1388.4313,1664.1331
2740078919,2,104,36,50,8,18,10.4116,14.9934,1,3,2641.9205,2740.0093
2740078919,2,105,96,71,4,10,1.1063,6.6197,0,3,268.4305,2075.2951
2740078919,2,106,77,36,7,6,3.7811,4.8503,1,2,795.8755,1618.7939
2740078919,2,107,13,36,8,6,4.9711,5.6304,2,3,1198.4121,1729.1593
2740078919,2,108,60,43,6,6,4.5103,4.3911,2,2,1109.9211,1468.6017
2740078919,2,109,95,13,10,10,7.4748,3.6713,1,2,1671.9861,1836.3086
2740078919,2,110,36,12,5,9,5.7215,15.9802,3,2,1950.9598,4828.6744
2740078919,2,111,63,60,11,15,5.0158,2.497,2,1,3291.6044,2245.274
2740078919,2,112,12,34,13,17,3.8009,12.3552,1,2,2076.0548,3639.8567
2740078919,2,113,22,16,12,8,6.5875,0.954,2,0,2412.8662,705.8497
2740078919,2,114,53,79,10,18,1.6399,16.6601,1,2,495.7467,5201.0052
2740078919,2,115,79,50,0,18,0.0,16.1236,0,2,0.0,3900.2903
2740078919,2,116,53,87,8,7,2.969,3.1537,1,1,916.2395,1303.6021
2740078919,2,117,36,89,5,8,5.8299,17.6787,1,3,1065.1134,4007.4122
2740078919,2,118,53,77,1,10,1.568,1.7186,0,0,378.5249,693.463
2740078919,2,119,36,27,6,8,2.414,15.2122,1,1,965.4594,3073.8566
2740078919,2,120,93,76,11,10,6.2079,5.4441,2,1,1588.1212,1144.9499
2740078919,2,121,38,16,8,10,5.1215,1.3682,1,1,1530.6073,806.7106
2740078919,2,122,96,87,12,14,10.9796,9.1714,3,2,3709.7547,2849.9272
