seed,generation,child_id,parent1_id,parent2_id,morph_diff_p1,morph_diff_p2,tf_diff_p1,tf_diff_p2,activation_diff_p1,activation_diff_p2,trajectory_diff_p1,trajectory_diff_p2
1675610640,2,101,19,80,12,8,9.6922,7.005,2,3,2273.0531,1011.4455
1675610640,2,102,87,4,11,9,10.5366,9.8563,0,1,1248.0188,2247.3008
1675610640,2,103,22,37,10,7,19.5953,10.138,0,2,3223.8169,2634.828
1675610640,2,104,87,49,9,10,9.3969,26.7479,0,0,2442.9604,4716.9151
1675610640,2,105,89,18,12,7,13.7958,8.5429,1,2,2920.8855,1961.7362
1675610640,2,106,38,19,6,7,14.91,10.9225,0,1,1623.232,3260.8219
1675610640,2,107,34,80,11,17,0.9493,25.3013,0,2,1269.343,7057.1865
1675610640,2,108,48,76,13,12,17.195,19.8679,2,1,3482.294,3564.6681
1675610640,2,109,89,65,0,15,0.0,13.6559,0,2,0.0,2380.3492
1675610640,2,110,94,12,11,15,15.6352,16.9011,0,1,2664.0479,4552.5871
1675610640,2,111,88,96,11,13,3.3631,11.7881,1,1,1080.2881,1892.4628
1675610640,2,112,33,86,13,10,10.7234,18.3994,0,2,3057.1863,5520.5193
1675610640,2,113,87,18,9,4,11.2083,1.5794,2,2,2889.8889,941.5001
1675610640,2,114,88,12,12,14,25.6775,25.0152,1,2,5047.5254,5521.2665
1675610640,2,115,61,96,13,11,12.9034,12.4869,2,1,3182.064,2000.7567
1675610640,2,116,26,21,17,9,9.036,3.1625,0,1,2656.968,564.7556
1675610640,2,117,38,88,13,10,9.2681,12.143,0,0,2070.0014,1936.3675
1675610640,2,118,65,80,11,9,10.2371,19.5297,1,2,1779.306,2123.1641
1675610640,2,119,30,51,0,11,0.0,9.1939,0,4,0.0,5468.1909
1675610640,2,120,82,67,10,14,20.4692,14.3022,2,1,2459.4688,2490.3388
1675610640,2,121,37,12,10,13,18.7143,9.4925,2,1,2170.2892,2520.1513
1675610640,2,122,79,65,9,13,15.8385,10.7228,1,1,3110.9546,2408.5486
1675610640,2,123,97,88,0,7,0.0057,6.5206,0,2,127.1699,1720.6477
1675610640,2,124,4,95,1,15,1.5844,22.4844,1,2,512.7736,3915.5882
1675610640,2,125,79,38,3,9,11.5938,11.307,2,1,2122.5958,1892.9973
1675610640,2,126,41,96,7,8,5.3026,11.0395,2,0,1071.7609,2176.4474
1675610640,2,127,90,97,12,1,29.5174,3.7089,0,2,6305.3168,1048.2449
1675610640,2,128,95,88,2,12,3.809,21.2495,0,0,775.9946,3304.8422
1675610640,2,129,22,49,0,11,0.0104,28.1049,0,0,2.7155,4742.8382
1675610640,2,130,21,22,7,12,4.9249,24.5285,0,1,589.3408,3885.2135
1675610640,2,131,87,67,9,5,12.2753,4.8997,1,2,1810.6276,975.6681
1675610640,2,132,60,38,22,20,48.6808,34.6893,1,0,9845.3364,8252.7004
1675610640,2,133,48,10,7,9,4.2469,7.2952,2,1,1381.79,1844.7279
1675610640,2,134,23,98,10,17,10.0181,4.1846,1,0,1537.8458,927.6923
1675610640,2,135,18,82,7,5,11.9352,11.3648,2,2,2063.6214,1770.9629
1675610640,2,136,62,18,11,7,11.4435,11.9567,0,2,1774.4387,1727.0274
1675610640,2,137,49,65,11,15,25.6987,4.9221,0,1,5242.7808,1699.0761
1675610640,2,138,94,74,15,4,30.1052,2.1925,3,0,6187.0485,887.1787
